pred	0.174288	0.131682	0.257653
pred	0.164948	0.166667	0.163265
pred	0.405063	0.402010	0.408163
pred	0.630029	0.511962	0.818878
pred	0.794944	0.884375	0.721939
pred	0.670494	0.609603	0.744898
pred	0.593781	0.489256	0.755102
pred	0.750877	0.693305	0.818878
pred	0.359264	0.403175	0.323980
pred	0.334891	0.241031	0.548469
pred	0.417827	0.328467	0.573980
pred	0.576302	0.444598	0.818878
pred	0.779184	0.868339	0.706633
pred	0.676190	0.633929	0.724490
pred	0.514938	0.392761	0.747449
pred	0.806658	0.809769	0.803571
